Frequency(Hz)	U(f)	I(f)
0.0	484.3940000000002	0.052000000000000005
50.0	2697.957632103521	0.026168778064546944
100.0	1128.5983090609973	0.0021085124424595485
150.0	542.0568754062907	0.015522996113057946
200.0	448.3000740442158	0.010665400902216654
250.0	324.7580289538659	0.02416609194718914
300.0	261.3314605240978	0.012147187957712408
350.0	253.18816762883756	0.00241853414468823
400.0	233.12117747847486	0.01393733201136416
450.0	224.59377362670006	0.01744655664804525
